min,line,coderate,p2p,platform,isp,value,cnt
1590843180,3,2000,0,webh5,教育网,0,2
1590843180,3,2000,0,ipad,电信,6,31
1590843180,3,2000,1,adr,教育网,0,20
1590843180,3,4000,1,pc_exe,电信,16,314
1590843180,6,500,1,ipad,移动,2,91
1590843180,8,4000,1,ios,小运营商,1,56
1590843180,5,8000,1,adr,移动,9,628
1590843180,3,500,0,ios,移动,4,34
1590843180,6,2000,1,webh5,电信,23,8458
1590843180,6,2000,0,pc_exe,海外,1,55
1590843180,6,0,1,ios,联通,0,4
1590843180,6,0,1,ios,小运营商,0,3
1590843180,6,500,1,webh5,小运营商,2,75
1590843180,5,4000,1,ios,联通,4,183
1590843180,6,2000,1,adr,未知,0,10
1590843180,6,4000,0,web,电信,0,10
1590843180,3,4000,0,webh5,联通,1,16
1590843180,3,500,0,webh5,电信,1,48
1590843180,8,8000,1,ios,移动,2,231
1590843180,6,500,1,adr,移动,160,3349
1590843180,8,4000,1,adr,小运营商,2,111
1590843180,5,2500,1,ipad,电信,1,21
1590843180,3,4000,1,ios,电信,22,714
1590843180,6,2000,0,ios,小运营商,0,7
1590843180,8,4000,0,adr_tv,联通,26,262
1590843180,8,4000,1,ios,联通,15,498
1590843180,5,8000,1,ipad,电信,4,117
1590843180,6,8000,1,ipad,海外,1,6
1590843180,8,8000,1,webh5,教育网,0,3
1590843180,8,0,0,adr_tv,小运营商,4,33
1590843180,6,2000,0,ios,联通,7,86
1590843180,8,2000,0,webh5,海外,0,10
1590843180,8,0,0,adr,电信,1,67
1590843180,5,2000,1,adr,电信,140,5889
1590843180,6,2000,1,adr_tv,电信,0,3
1590843180,6,500,0,ipad,移动,0,9
1590843180,3,4000,0,pc_exe,电信,2,288
1590843180,3,0,0,adr_tv,移动,34,1410
1590843180,6,500,1,adr,电信,152,2616
1590843180,3,500,0,web,联通,0,36
1590843180,6,4000,1,webh5,海外,0,8
1590843180,6,2000,0,adr,小运营商,2,88
1590843180,6,8000,1,ipad,移动,1,223
1590843180,6,8000,0,webh5,移动,0,47
1590843180,6,2000,0,adr,联通,41,636
1590843180,3,500,0,ipad,电信,0,18
1590843180,3,500,0,adr_tv,移动,18,186
1590843180,6,4000,0,pc_exe,联通,1,241
1590843180,8,4000,1,pc_exe,海外,0,3
1590843180,6,2000,1,ipad,移动,33,2181
1590843180,8,2000,0,web,电信,0,15
1590843180,3,500,0,webh5,教育网,0,1
1590843180,6,500,1,webh5,电信,3,1106
1590843180,6,4000,0,adr_tv,未知,0,3
1590843180,3,8000,0,pc_exe,联通,3,506
1590843180,5,4000,0,adr_tv,联通,29,189
1590843180,6,500,0,ios,小运营商,0,1
1590843180,3,2000,1,adr,联通,134,5660
1590843180,5,4000,0,ios,联通,4,86
1590843180,3,4500,0,ipad,联通,2,5
1590843180,5,4000,1,adr,联通,6,717
1590843180,8,500,1,pc_exe,联通,1,23
1590843180,6,8000,1,adr,电信,31,1630
1590843180,5,2000,1,pc_exe,联通,0,9
1590843180,3,4000,0,webh5,移动,1,22
1590843180,3,500,0,web,小运营商,0,1
1590843180,5,4000,1,adr,小运营商,5,149
1590843180,8,4000,0,web,移动,0,13
1590843180,3,2500,1,ipad,联通,1,9
1590843180,3,4500,1,ios,电信,1,19
1590843180,3,8000,1,webh5,海外,0,20
1590843180,6,500,0,ios,联通,1,25
1590843180,5,2000,0,adr_tv,海外,0,10
1590843180,6,8000,0,pc_exe,电信,59,1563
1590843180,3,500,0,adr,移动,19,342
1590843180,5,8000,0,pc_exe,海外,0,9
1590843180,8,500,1,pc_exe,电信,7,49
1590843180,8,4000,0,adr_tv,电信,52,611
1590843180,5,8000,0,pc_exe,教育网,0,3
1590843180,8,8000,1,webh5,海外,0,3
1590843180,8,500,0,webh5,海外,0,11
1590843180,6,2000,1,webh5,小运营商,2,503
1590843180,6,500,1,ipad,电信,6,148
1590843180,3,2000,1,pc_exe,海外,1,12
1590843180,8,8000,0,webh5,小运营商,0,5
1590843180,3,2000,1,pc_exe,教育网,0,1
1590843180,6,500,1,ios,移动,77,1009
1590843180,3,8000,1,webh5,小运营商,1,45
1590843180,5,4000,0,adr_tv,电信,35,317
1590843180,8,8000,0,pc_exe,小运营商,0,52
1590843180,8,4500,1,ipad,联通,0,3
1590843180,6,500,1,pc_exe,小运营商,3,9
1590843180,6,2000,0,ios,海外,2,3
1590843180,3,4000,0,web,海外,0,3
1590843180,5,500,0,webh5,联通,0,2
1590843180,5,500,1,ipad,小运营商,0,3
1590843180,8,8000,0,ios,移动,0,9
1590843180,6,0,0,adr_tv,小运营商,2,69
1590843180,6,0,0,adr_tv,电信,69,1628
1590843180,8,8000,1,adr,移动,21,938
1590843180,6,2000,1,ios,联通,137,3297
1590843180,8,2000,0,adr_tv,海外,0,9
1590843180,6,2000,1,ios,小运营商,12,331
1590843180,8,500,0,ios,海外,0,3
1590843180,3,500,0,adr_tv,电信,25,172
1590843180,6,2000,1,ios,未知,0,3
1590843180,3,4000,1,adr,电信,36,1913
1590843180,6,8000,0,pc_exe,移动,13,1527
1590843180,5,500,1,webh5,海外,0,6
1590843180,8,2000,1,ipad,小运营商,3,158
1590843180,5,4000,1,ipad,联通,0,14
1590843180,8,2000,1,adr,电信,301,11491
1590843180,5,4000,1,pc_exe,海外,1,13
1590843180,6,2000,0,webh5,移动,2,334
1590843180,8,8000,0,web,小运营商,0,1
1590843180,8,500,1,ios,电信,35,592
1590843180,8,2000,0,adr,海外,1,16
1590843180,8,8000,0,pc_exe,电信,15,1609
1590843180,6,2000,0,adr,教育网,0,2
1590843180,3,2000,0,adr_tv,联通,65,585
1590843180,8,8000,1,ipad,联通,0,125
1590843180,3,4000,0,webh5,海外,0,2
1590843180,3,8000,1,webh5,移动,2,337
1590843180,5,2000,1,adr,小运营商,10,719
1590843180,6,8000,0,ios,移动,0,15
1590843180,3,2000,0,webh5,联通,0,82
1590843180,5,0,1,ipad,电信,0,13
1590843180,5,500,0,webh5,移动,0,3
1590843180,6,2000,1,ipad,联通,29,1512
1590843180,8,2500,1,webh5,电信,0,3
1590843180,5,8000,1,pc_exe,移动,10,212
1590843180,6,0,1,adr_tv,移动,0,3
1590843180,6,2000,1,webh5,教育网,0,35
1590843180,5,500,1,pc_exe,海外,1,2
1590843180,6,500,1,webh5,教育网,0,4
1590843180,8,2000,1,ios,联通,62,2093
1590843180,3,500,0,ipad,移动,0,11
1590843180,8,2000,1,ios,电信,160,4465
1590843180,8,2000,1,ios,小运营商,12,288
1590843180,6,4000,0,pc_exe,电信,5,537
1590843180,5,2000,0,webh5,移动,0,4
1590843180,6,500,0,web,小运营商,0,2
1590843180,3,8000,0,adr,小运营商,0,3
1590843180,255,4294967,0,adr,移动,0,3
1590843180,6,500,1,ios,海外,10,113
1590843180,6,2000,0,adr,电信,75,1235
1590843180,5,8000,1,webh5,联通,0,25
1590843180,5,4000,1,pc_exe,联通,5,77
1590843180,6,2000,0,web,电信,0,8
1590843180,5,2000,1,adr,联通,68,3497
1590843180,5,2000,1,ipad,电信,17,566
1590843180,8,500,1,ios,教育网,0,3
1590843180,3,500,1,ipad,海外,0,9
1590843180,3,500,0,adr_tv,联通,11,78
1590843180,3,2500,1,ios,联通,0,1
1590843180,8,4000,1,webh5,小运营商,0,19
1590843180,3,500,1,ios,教育网,0,1
1590843180,3,4000,0,webh5,电信,0,24
1590843180,5,2000,0,ipad,电信,2,18
1590843180,8,4000,0,pc_exe,移动,4,298
1590843180,3,2000,0,webh5,移动,0,145
1590843180,5,500,1,pc_exe,联通,0,3
1590843180,6,4000,1,ipad,电信,4,196
1590843180,6,4000,0,adr,小运营商,0,16
1590843180,8,2000,1,ipad,教育网,0,8
1590843180,6,4000,1,adr,移动,139,3737
1590843180,3,8000,1,ipad,电信,1,315
1590843180,3,-1,0,adr_tv,移动,0,5
1590843180,5,2000,0,ipad,移动,0,6
1590843180,3,4500,0,ipad,移动,0,6
1590843180,8,8000,0,pc_exe,联通,7,677
1590843180,3,8000,1,ipad,移动,6,204
1590843180,3,2000,0,pc_exe,移动,6,1406
1590843180,8,4000,1,ipad,小运营商,0,10
1590843180,5,500,0,ios,移动,3,25
1590843180,8,2000,0,webh5,电信,1,267
1590843180,8,4000,1,pc_exe,小运营商,0,23
1590843180,3,2000,1,ipad,小运营商,1,149
1590843180,5,2000,0,adr,移动,11,767
1590843180,8,8000,0,ios,电信,0,19
1590843180,6,2000,0,pc_exe,教育网,0,13
1590843180,3,4500,0,ipad,电信,0,3
1590843180,3,8000,1,adr,移动,27,1122
1590843180,6,8000,0,webh5,电信,3,64
1590843180,5,8000,1,webh5,移动,0,47
1590843180,3,2000,0,adr_tv,海外,0,6
1590843180,3,8000,0,ipad,电信,0,1
1590843180,5,0,0,adr,联通,0,191
1590843180,8,500,0,adr_tv,电信,8,108
1590843180,6,4000,0,adr,移动,11,164
1590843180,8,2000,0,web,移动,2,20
1590843180,5,2000,0,adr_tv,联通,12,212
1590843180,3,4000,1,pc_exe,联通,6,128
1590843180,8,4000,0,ios,移动,0,14
1590843180,5,2500,1,ipad,联通,0,3
1590843180,6,2000,1,webh5,移动,9,5182
1590843180,6,4500,0,pc_exe,联通,0,1
1590843180,6,8000,0,adr_tv,联通,0,25
1590843180,3,0,1,ipad,电信,0,8
1590843180,8,4000,1,ipad,海外,0,3
1590843180,5,4000,1,adr,电信,17,1183
1590843180,3,2000,1,ios,小运营商,11,297
1590843180,3,4000,0,pc_exe,小运营商,0,55
1590843180,8,500,0,webh5,联通,0,26
1590843180,5,4500,1,ios,电信,0,2
1590843180,6,500,1,ipad,联通,3,105
1590843180,5,4000,0,webh5,移动,0,3
1590843180,5,8000,0,ios,联通,1,65
1590843180,8,500,1,ipad,海外,0,18
1590843180,8,8000,0,pc_exe,海外,0,8
1590843180,8,4000,1,ios,电信,54,1037
1590843180,5,8000,1,webh5,海外,0,4
1590843180,3,500,0,adr_tv,小运营商,4,31
1590843180,7,0,1,ipad,移动,0,2
1590843180,5,0,0,adr_tv,移动,4,424
1590843180,3,-1,0,adr_tv,电信,3,8
1590843180,8,8000,0,web,联通,0,26
1590843180,3,2000,0,adr,移动,54,590
1590843180,3,500,1,ios,小运营商,2,49
1590843180,3,8000,0,web,联通,0,47
1590843180,3,8000,0,web,小运营商,0,6
1590843180,3,0,1,ipad,移动,0,5
1590843180,6,8000,1,ios,电信,9,590
1590843180,5,2000,1,ipad,小运营商,0,104
1590843180,6,8000,0,ipad,联通,0,3
1590843180,6,4000,0,adr_tv,移动,94,813
1590843180,8,2000,1,ipad,海外,1,11
1590843180,6,4000,1,webh5,移动,1,525
1590843180,3,4000,1,ipad,海外,0,11
1590843180,3,500,1,ios,联通,20,307
1590843180,5,4000,0,adr,未知,0,3
1590843180,6,8000,0,webh5,海外,0,6
1590843180,8,500,0,adr,海外,2,11
1590843180,5,8000,0,pc_exe,小运营商,0,22
1590843180,3,2000,0,webh5,海外,0,6
1590843180,5,2000,1,pc_exe,电信,3,62
1590843180,3,4000,0,ios,移动,0,6
1590843180,5,500,0,ipad,电信,0,3
1590843180,5,8000,1,ipad,移动,0,48
1590843180,5,8000,1,adr,海外,0,5
1590843180,8,500,0,adr_tv,联通,7,48
1590843180,8,4000,1,pc_exe,移动,10,217
1590843180,7,4000,0,adr_tv,电信,0,1
1590843180,5,500,0,web,移动,0,2
1590843180,3,4000,1,webh5,电信,0,461
1590843180,3,2000,0,adr,海外,0,14
1590843180,6,500,1,webh5,联通,4,505
1590843180,3,500,1,ios,电信,28,540
1590843180,3,0,1,webh5,联通,0,3
1590843180,6,500,0,web,联通,0,3
1590843180,6,500,1,pc_exe,联通,6,39
1590843180,6,500,0,adr_tv,移动,18,220
1590843180,3,4000,0,adr_tv,联通,33,337
1590843180,3,8000,0,pc_exe,电信,9,1183
1590843180,8,4000,0,adr_tv,未知,0,3
1590843180,6,0,1,ios,电信,0,5
1590843180,5,500,1,pc_exe,电信,0,6
1590843180,8,2000,0,ipad,小运营商,0,2
1590843180,5,4000,1,adr,教育网,0,6
1590843180,6,500,0,pc_exe,电信,0,233
1590843180,6,2000,0,adr_tv,移动,121,1626
1590843180,3,500,1,ipad,小运营商,0,18
1590843180,8,500,0,ipad,移动,0,11
1590843180,8,500,0,ios,移动,3,45
1590843180,5,8000,0,webh5,小运营商,0,1
1590843180,3,8000,0,adr_tv,移动,0,92
1590843180,3,2000,0,ipad,移动,1,22
1590843180,8,2000,0,webh5,联通,2,144
1590843180,6,500,1,webh5,阿里云,0,3
1590843180,8,2000,0,adr_tv,电信,55,1085
1590843180,5,-1,0,adr_tv,移动,0,1
1590843180,5,500,0,adr,移动,8,270
1590843180,3,2000,1,webh5,教育网,0,20
1590843180,5,4000,1,ios,电信,18,327
1590843180,6,500,0,adr_tv,联通,15,74
1590843180,3,2500,1,ipad,小运营商,0,3
1590843180,5,2000,1,webh5,移动,1,67
1590843180,8,2000,1,ios,海外,17,94
1590843180,5,8000,0,adr_tv,联通,0,4
1590843180,8,2000,0,ipad,海外,0,3
1590843180,6,2000,1,ios,教育网,1,23
1590843180,8,500,0,adr,电信,8,190
1590843180,8,4000,0,pc_exe,海外,0,2
1590843180,8,8000,1,pc_exe,教育网,0,3
1590843180,6,8000,1,webh5,海外,0,6
1590843180,5,4000,1,ios,海外,0,15
1590843180,4,2000,1,ios,电信,0,1
1590843180,6,4000,0,webh5,移动,0,31
1590843180,8,0,0,ipad,联通,0,1
1590843180,3,500,0,ios,联通,3,50
1590843180,8,2000,0,pc_exe,小运营商,3,194
1590843180,6,2000,0,ipad,移动,1,34
1590843180,3,2000,0,web,联通,1,12
1590843180,8,500,1,adr,海外,1,59
1590843180,6,500,1,adr,教育网,0,6
1590843180,6,8000,0,pc_exe,联通,6,747
1590843180,6,2000,0,ipad,联通,1,19
1590843180,6,4500,0,ipad,联通,0,3
1590843180,8,4000,1,adr,未知,0,2
1590843180,5,4000,0,adr_tv,移动,49,409
1590843180,8,500,1,pc_exe,移动,6,62
1590843180,3,2000,1,ipad,移动,13,1183
1590843180,8,4000,1,adr_tv,电信,0,3
1590843180,3,500,1,webh5,电信,2,460
1590843180,6,500,0,ipad,电信,0,12
1590843180,8,8000,0,web,移动,2,67
1590843180,3,4000,1,webh5,海外,0,9
1590843180,6,0,0,adr_tv,移动,23,1263
1590843180,8,-1,0,adr_tv,电信,0,2
1590843180,6,500,1,pc_exe,电信,7,64
1590843180,8,2000,0,ios,电信,13,114
1590843180,3,8000,0,webh5,移动,0,34
1590843180,6,8000,1,webh5,移动,3,637
1590843180,5,2000,0,adr_tv,移动,54,526
1590843180,3,8000,1,adr,电信,23,1106
1590843180,8,2000,0,webh5,小运营商,0,33
1590843180,8,500,1,webh5,联通,0,248
1590843180,6,8000,0,ios,电信,0,5
1590843180,5,0,0,webh5,移动,0,1
1590843180,3,500,1,pc_exe,小运营商,0,6
1590843180,6,500,1,ios,联通,56,433
1590843180,3,4000,1,webh5,移动,0,257
1590843180,255,4294967,0,adr,联通,0,13
1590843180,6,8000,1,webh5,电信,4,1385
1590843180,5,2000,1,adr,移动,113,5641
1590843180,3,8000,0,webh5,海外,0,5
1590843180,6,0,1,ipad,移动,0,2
1590843180,5,4000,1,adr_tv,联通,0,3
1590843180,6,500,0,webh5,电信,1,130
1590843180,5,2000,1,webh5,海外,0,34
1590843180,6,500,1,ios,小运营商,1,69
1590843180,6,500,1,adr,联通,64,1432
1590843180,6,4000,0,pc_exe,移动,7,527
1590843180,5,4000,0,pc_exe,海外,0,18
1590843180,3,500,1,adr,移动,70,1632
1590843180,3,500,1,webh5,小运营商,0,46
1590843180,6,2500,1,ipad,联通,1,21
1590843180,3,2000,0,adr_tv,移动,68,1206
1590843180,5,4000,1,ipad,移动,1,15
1590843180,8,500,0,web,电信,0,42
1590843180,7,2000,1,adr,移动,0,1
1590843180,3,4500,0,ipad,小运营商,0,3
1590843180,8,0,1,ios,电信,0,1
1590843180,5,500,0,pc_exe,电信,0,21
1590843180,5,500,1,ios,海外,1,34
1590843180,5,2000,0,adr,电信,18,495
1590843180,255,4294967,0,adr,小运营商,0,1
1590843180,3,0,0,adr_tv,联通,17,767
1590843180,8,4000,1,adr,移动,64,2240
1590843180,6,2000,1,adr_tv,移动,2,3
1590843180,8,8000,0,adr_tv,电信,2,46
1590843180,6,4000,0,ipad,电信,0,4
1590843180,3,4000,0,ipad,海外,0,1
1590843180,5,8000,0,ios,移动,0,7
1590843180,6,500,0,adr,移动,33,280
1590843180,6,8000,1,pc_exe,小运营商,4,52
1590843180,3,4000,1,webh5,联通,1,151
1590843180,6,0,0,adr,小运营商,1,4
1590843180,8,500,0,webh5,小运营商,1,8
1590843180,5,8000,1,ipad,小运营商,0,5
1590843180,8,2000,0,pc_exe,电信,24,3642
1590843180,3,8000,0,pc_exe,移动,11,1028
1590843180,3,4000,0,web,电信,2,30
1590843180,3,500,0,pc_exe,海外,0,30
1590843180,3,8000,0,webh5,联通,0,20
1590843180,3,2000,1,webh5,小运营商,0,226
1590843180,3,8000,1,pc_exe,联通,6,430
1590843180,6,500,0,adr_tv,电信,14,131
1590843180,8,8000,1,adr,教育网,0,3
1590843180,6,8000,1,adr,海外,0,3
1590843180,8,500,0,pc_exe,小运营商,0,34
1590843180,5,4000,0,adr,小运营商,0,5
1590843180,6,8000,1,webh5,小运营商,1,63
1590843180,8,8000,0,webh5,电信,0,43
1590843180,6,2000,1,adr,联通,415,10465
1590843180,6,8000,1,pc_exe,移动,25,621
1590843180,8,500,1,webh5,移动,1,389
1590843180,6,2000,1,adr,小运营商,48,1197
1590843180,5,500,0,ios,电信,1,22
1590843180,3,500,1,adr_tv,电信,0,3
1590843180,5,0,0,webh5,联通,0,1
1590843180,6,4000,0,webh5,联通,0,31
1590843180,3,2000,1,pc_exe,小运营商,6,138
1590843180,6,0,0,adr,联通,2,71
1590843180,8,4000,1,webh5,电信,0,526
1590843180,5,4000,1,ios,移动,2,228
1590843180,3,4000,1,pc_exe,移动,9,211
1590843180,13,0,1,ipad,联通,0,1
1590843180,255,0,2,webh5,联通,2,203
1590843180,8,8000,0,ipad,电信,0,9
1590843180,6,4000,1,pc_exe,联通,11,168
1590843180,6,0,1,ios,移动,0,11
1590843180,3,500,1,webh5,教育网,0,2
1590843180,3,0,0,ios,移动,0,1
1590843180,6,2000,0,ios,移动,21,171
1590843180,8,8000,1,ios,小运营商,0,7
1590843180,8,500,1,webh5,海外,1,41
1590843180,3,2000,0,adr,小运营商,5,55
1590843180,6,4000,0,adr,海外,0,2
1590843180,5,8000,1,adr,联通,13,352
1590843180,8,4000,1,webh5,教育网,0,9
1590843180,3,2000,1,ios,移动,96,2872
1590843180,3,2000,0,adr,联通,25,523
1590843180,8,8000,1,ios,联通,8,158
1590843180,6,500,1,pc_exe,海外,5,12
1590843180,6,2000,1,webh5,未知,0,8
1590843180,255,0,1,ios,移动,0,1
1590843180,3,0,0,adr_tv,小运营商,1,69
1590843180,3,4000,1,ipad,移动,1,56
1590843180,255,0,2,webh5,海外,0,17
1590843180,6,2000,0,adr_tv,联通,46,797
1590843180,6,8000,1,webh5,联通,6,562
1590843180,8,4000,0,ios,电信,2,17
1590843180,3,4000,0,pc_exe,联通,0,131
1590843180,5,8000,1,adr,小运营商,4,59
1590843180,8,4000,1,ipad,电信,4,136
1590843180,8,8000,0,webh5,教育网,0,1
1590843180,8,4000,0,ios,联通,0,12
1590843180,6,500,0,web,移动,0,10
1590843180,5,2000,1,webh5,联通,0,33
1590843180,8,4000,0,adr_tv,小运营商,0,24
1590843180,5,2000,1,pc_exe,移动,5,36
1590843180,5,500,1,ipad,联通,4,33
1590843180,5,4000,0,adr,联通,3,256
1590843180,6,4000,1,adr,电信,192,3430
1590843180,6,8000,0,web,电信,0,16
1590843180,5,0,0,adr_tv,小运营商,0,21
1590843180,3,4000,1,adr,海外,0,19
1590843180,8,2000,1,ipad,联通,14,963
1590843180,5,4000,1,webh5,移动,0,29
1590843180,5,500,0,ipad,海外,0,4
1590843180,5,2000,0,pc_exe,联通,0,47
1590843180,6,4000,1,ipad,移动,3,130
1590843180,6,500,1,adr,小运营商,10,146
1590843180,5,4000,1,adr,未知,0,2
1590843180,8,500,1,adr,电信,58,1606
1590843180,3,2000,0,pc_exe,海外,0,59
1590843180,8,4000,0,adr,小运营商,0,4
1590843180,6,2000,1,ios,移动,235,5515
1590843180,8,8000,0,ios,联通,0,7
1590843180,5,0,0,adr,移动,1,38
1590843180,6,2500,1,ios,电信,0,4
1590843180,3,8000,1,webh5,联通,0,232
1590843180,3,0,0,adr,移动,1,40
1590843180,6,8000,1,ios,海外,1,9
1590843180,6,500,0,ios,移动,11,37
1590843180,6,8000,1,pc_exe,联通,7,314
1590843180,5,500,1,webh5,联通,0,10
1590843180,6,4000,1,adr,海外,2,11
1590843180,8,4000,1,adr,教育网,0,6
1590843180,5,0,1,ipad,小运营商,0,1
1590843180,8,4000,0,web,联通,0,11
1590843180,3,4000,1,ipad,联通,6,74
1590843180,3,0,0,webh5,海外,0,3
1590843180,6,8000,1,adr,阿里云,0,4
1590843180,13,0,0,ipad,移动,0,1
1590843180,8,2000,1,webh5,联通,10,2054
1590843180,6,8000,1,ipad,联通,2,211
1590843180,3,8000,1,pc_exe,电信,14,999
1590843180,5,2000,0,webh5,联通,0,9
1590843180,6,500,0,adr_tv,小运营商,0,9
1590843180,8,4000,0,adr_tv,移动,32,596
1590843180,7,0,1,ipad,电信,0,1
1590843180,6,2000,1,ipad,教育网,2,24
1590843180,5,500,0,adr,电信,10,183
1590843180,7,2000,0,adr_tv,移动,0,1
1590843180,3,0,0,webh5,电信,0,26
1590843180,8,500,0,pc_exe,电信,2,232
1590843180,8,2000,1,pc_exe,电信,120,2625
1590843180,5,2000,1,ios,海外,5,126
1590843180,3,500,1,pc_exe,海外,1,9
1590843180,5,2000,0,pc_exe,小运营商,0,15
1590843180,3,8000,0,ios,海外,0,2
1590843180,8,4000,0,adr,联通,2,78
1590843180,5,500,1,ios,电信,10,287
1590843180,3,0,1,ipad,小运营商,0,1
1590843180,6,4000,1,webh5,联通,5,363
1590843180,8,8000,1,ipad,电信,1,228
1590843180,5,2000,0,pc_exe,移动,7,88
1590843180,3,2000,1,adr,未知,0,3
1590843180,8,8000,1,webh5,电信,0,886
1590843180,3,8000,1,pc_exe,移动,22,692
1590843180,6,4000,1,ios,电信,76,1602
1590843180,3,8000,1,ipad,海外,0,6
1590843180,8,4000,0,webh5,电信,0,31
1590843180,5,8000,0,adr,联通,0,3
1590843180,5,8000,0,adr_tv,移动,1,15
1590843180,3,4000,0,pc_exe,移动,4,328
1590843180,3,2000,1,ios,教育网,1,13
1590843180,8,2000,0,ipad,联通,0,23
1590843180,6,0,0,adr_tv,联通,17,710
1590843180,3,2000,1,adr,小运营商,24,855
1590843180,3,0,0,adr,小运营商,0,6
1590843180,5,2000,0,ipad,海外,0,4
1590843180,6,4000,1,ipad,小运营商,0,10
1590843180,8,0,0,webh5,移动,0,12
1590843180,15,0,1,ipad,电信,0,1
1590843180,5,8000,1,pc_exe,海外,0,3
1590843180,3,500,0,web,移动,0,59
1590843180,8,2000,0,pc_exe,联通,15,1621
1590843180,8,500,0,webh5,移动,1,48
1590843180,6,4000,0,adr_tv,海外,0,7
1590843180,3,0,0,adr,联通,1,47
1590843180,3,2000,1,ipad,电信,17,1554
1590843180,8,4000,0,adr,移动,1,89
1590843180,6,4000,1,pc_exe,移动,19,352
1590843180,5,4000,0,ios,移动,3,14
1590843180,6,2000,1,ipad,未知,0,6
1590843180,5,4000,1,webh5,电信,0,63
1590843180,3,8000,1,pc_exe,教育网,0,6
1590843180,3,500,1,pc_exe,教育网,0,3
1590843180,3,8000,1,adr,海外,0,16
1590843180,8,500,1,ios,移动,43,772
1590843180,3,4000,1,ios,海外,1,15
1590843180,5,4000,1,adr,移动,16,1348
1590843180,8,4000,1,ipad,移动,2,80
1590843180,3,500,0,adr,小运营商,2,27
1590843180,8,500,0,pc_exe,联通,3,116
1590843180,6,4500,0,webh5,联通,1,2
1590843180,3,0,1,ios,联通,0,2
1590843180,8,4500,0,pc_exe,小运营商,0,1
1590843180,3,0,0,adr_tv,电信,50,1701
1590843180,3,500,0,adr,联通,6,261
1590843180,5,500,0,pc_exe,联通,0,15
1590843180,5,2000,1,ipad,联通,5,285
1590843180,6,0,1,adr_tv,电信,0,1
1590843180,8,4000,1,ios,移动,24,702
1590843180,8,8000,1,adr,小运营商,0,49
1590843180,6,4000,1,pc_exe,电信,18,339
1590843180,3,500,1,ipad,移动,4,65
1590843180,8,2000,0,adr,电信,46,580
1590843180,6,0,1,ipad,电信,0,4
1590843180,8,8000,1,adr,联通,18,495
1590843180,6,2000,1,pc_exe,海外,5,27
1590843180,5,500,1,pc_exe,移动,0,6
1590843180,3,4000,0,adr,电信,6,77
1590843180,3,2000,0,webh5,未知,0,1
1590843180,5,4000,0,adr_tv,小运营商,6,26
1590843180,6,2000,1,pc_exe,未知,0,3
1590843180,5,8000,0,adr_tv,电信,0,3
1590843180,3,4000,0,ios,电信,5,10
1590843180,3,2000,1,webh5,海外,1,118
1590843180,8,500,1,ipad,联通,4,65
1590843180,6,500,1,ipad,教育网,0,3
1590843180,5,500,0,pc_exe,小运营商,0,3
1590843180,5,4000,0,pc_exe,教育网,0,3
1590843180,3,8000,0,adr_tv,小运营商,0,6
1590843180,6,2000,0,adr_tv,小运营商,4,111
1590843180,6,2000,0,adr_tv,电信,94,1473
1590843180,3,500,1,ios,移动,37,635
1590843180,6,2000,1,pc_exe,教育网,2,14
1590843180,8,2000,1,webh5,海外,0,29
1590843180,6,4000,0,pc_exe,小运营商,0,36
